cell_idx,row,col,is_riau,peat_frac,peat_depth_m
681,8,1,False,0.0,0.0
682,8,2,False,0.0,0.0
683,8,3,False,0.0,0.0
684,8,4,False,0.0,0.0
685,8,5,False,0.0,0.0
686,8,6,False,0.0,0.0
687,8,7,False,0.0,0.0
688,8,8,False,0.0,0.0
689,8,9,False,0.0,0.0
690,8,10,False,0.0,0.0
691,8,11,False,0.0,0.0
692,8,12,False,0.0,0.0
693,8,13,False,0.0,0.0
694,8,14,False,0.0,0.0
695,8,15,False,0.0,0.0
696,8,16,False,0.0,0.0
697,8,17,False,0.0,0.0
698,8,18,False,0.0,0.0
699,8,19,False,0.0,0.0
700,8,20,False,0.0,0.0
701,8,21,False,0.0,0.0
702,8,22,False,0.0,0.0
703,8,23,False,0.0,0.0
704,8,24,False,0.0,0.0
705,8,25,False,0.0,0.0
706,8,26,False,0.0,0.0
707,8,27,False,0.0,0.0
708,8,28,False,0.0,0.0
709,8,29,False,0.0,0.0
710,8,30,False,0.0,0.0
711,8,31,False,0.0,0.0
712,8,32,True,0.0,0.0
713,8,33,True,0.0,0.0
714,8,34,True,0.0,0.0
715,8,35,True,0.0,0.0
716,8,36,True,0.0,0.0
717,8,37,True,0.0,0.0
718,8,38,True,0.0,0.0
719,8,39,True,0.0,0.0
720,8,40,True,0.0,0.0
721,8,41,True,0.0,0.0
722,8,42,True,0.0,0.0
723,8,43,True,0.0,0.0
724,8,44,True,0.0,0.0
725,8,45,True,0.0,0.0
726,8,46,True,0.0,0.0
727,8,47,True,0.0,0.0
728,8,48,True,0.0,0.0
729,8,49,True,0.0,0.0
730,8,50,True,0.0,0.0
731,8,51,True,0.0,0.0
732,8,52,True,0.0,0.0
733,8,53,True,0.0,0.0
734,8,54,True,0.0,0.0
735,8,55,True,0.0,0.0
736,8,56,True,0.0,0.0
737,8,57,True,0.0,0.0
738,8,58,True,0.0,0.0
739,8,59,True,0.0,0.0
740,8,60,True,0.0,0.0
741,8,61,True,0.0,0.0
742,8,62,True,0.0,0.0
743,8,63,True,0.0,0.0
744,8,64,True,0.0,0.0
745,8,65,True,0.0,0.0
746,8,66,False,0.0,0.0
747,8,67,False,0.0,0.0
748,8,68,False,0.0,0.0
749,8,69,False,0.0,0.0
750,8,70,False,0.0,0.0
751,8,71,False,0.0,0.0
752,8,72,False,0.0,0.0
753,8,73,False,0.0,0.0
754,8,74,True,0.0,0.0
755,8,75,False,0.0,0.0
756,8,76,False,0.0,0.0
757,8,77,False,0.0,0.0
758,8,78,False,0.0,0.0
759,8,79,False,0.0,0.0
760,8,80,False,0.0,0.0
761,8,81,False,0.0,0.0
762,8,82,False,0.0,0.0
763,8,83,False,0.0,0.0
764,8,84,False,0.0,0.0
765,9,0,False,0.0,0.0
766,9,1,False,0.0,0.0
767,9,2,False,0.0,0.0
768,9,3,False,0.0,0.0
769,9,4,False,0.0,0.0
770,9,5,False,0.0,0.0
771,9,6,False,0.0,0.0
772,9,7,False,0.0,0.0
773,9,8,False,0.0,0.0
774,9,9,False,0.0,0.0
775,9,10,False,0.0,0.0
776,9,11,False,0.0,0.0
777,9,12,False,0.0,0.0
778,9,13,False,0.0,0.0
779,9,14,False,0.0,0.0
780,9,15,False,0.0,0.0
781,9,16,False,0.0,0.0
782,9,17,False,0.0,0.0
783,9,18,False,0.0,0.0
784,9,19,False,0.0,0.0
785,9,20,False,0.0,0.0
786,9,21,False,0.0,0.0
787,9,22,False,0.0,0.0
788,9,23,False,0.0,0.0
789,9,24,False,0.0,0.0
790,9,25,False,0.0,0.0
791,9,26,False,0.0,0.0
792,9,27,False,0.0,0.0
793,9,28,False,0.0,0.0
794,9,29,False,0.0,0.0
795,9,30,False,0.0,0.0
796,9,31,True,0.0,0.0
797,9,32,True,0.0,0.0
798,9,33,True,0.0,0.0
799,9,34,True,0.0,0.0
800,9,35,True,0.0,0.0
801,9,36,True,0.0,0.0
802,9,37,True,0.0,0.0
803,9,38,True,0.0,0.0
804,9,39,True,0.0,0.0
805,9,40,True,0.0,0.0
806,9,41,True,0.0,0.0
807,9,42,True,0.0,0.0
808,9,43,True,0.0,0.0
809,9,44,True,0.0,0.0
810,9,45,True,0.0,0.0
811,9,46,True,0.0,0.0
812,9,47,True,0.0,0.0
813,9,48,True,0.0,0.0
814,9,49,True,0.0,0.0
815,9,50,True,0.0,0.0
816,9,51,True,0.0,0.0
817,9,52,True,0.0,0.0
818,9,53,True,0.0,0.0
819,9,54,True,0.0,0.0
820,9,55,True,0.0,0.0
821,9,56,True,0.0,0.0
822,9,57,True,0.0,0.0
823,9,58,True,0.0,0.0
824,9,59,True,0.0,0.0
825,9,60,True,0.0,0.0
826,9,61,True,0.0,0.0
827,9,62,True,0.0,0.0
828,9,63,True,0.0,0.0
829,9,64,True,0.0,0.0
830,9,65,True,0.0,0.0
831,9,66,True,0.0,0.0
832,9,67,True,0.0,0.0
833,9,68,True,0.0,0.0
834,9,69,True,0.0,0.0
835,9,70,True,0.0,0.0
836,9,71,True,0.0,0.0
837,9,72,True,0.0,0.0
838,9,73,True,0.0,0.0
839,9,74,True,0.0,0.0
840,9,75,True,0.0,0.0
841,9,76,False,0.0,0.0
842,9,77,False,0.0,0.0
843,9,78,False,0.0,0.0
844,9,79,False,0.0,0.0
845,9,80,False,0.0,0.0
846,9,81,False,0.0,0.0
847,9,82,False,0.0,0.0
848,9,83,False,0.0,0.0
849,9,84,False,0.0,0.0
850,10,0,False,0.0,0.0
851,10,1,False,0.0,0.0
852,10,2,False,0.0,0.0
853,10,3,False,0.0,0.0
854,10,4,False,0.0,0.0
855,10,5,False,0.0,0.0
856,10,6,False,0.0,0.0
857,10,7,False,0.0,0.0
858,10,8,False,0.0,0.0
859,10,9,False,0.0,0.0
860,10,10,False,0.0,0.0
861,10,11,False,0.0,0.0
862,10,12,False,0.0,0.0
863,10,13,False,0.0,0.0
864,10,14,False,0.0,0.0
